Component_class,Component_category,Component_type,Emission_factor,Unit
EE,Battery,"Alkaline, AA",0.08000000000,pcs
EE,Battery,"Alkaline, AAA",0.03800000000,pcs
EE,Battery,"Coin Cell, CR 2032",0.06800000000,pcs
EE,Battery,"Coin Cell, Li-Ion CP 1254",0.03400000000,pcs
EE,Battery,"Coin Cell, ML 2032",0.05100000000,pcs
EE,Battery,"Li-Po, 1100mAh",0.57400000000,pcs
EE,Battery,"Li-Po, 1100mAh, With PCR Cobalt",0.33100000000,pcs
EE,Battery,"Li-Po, 125mAh",0.13200000000,pcs
EE,Battery,"Li-Po, 125mAh, With PCR Cobalt",0.10100000000,pcs
EE,Battery,"Li-Po, 1500mAh",0.83200000000,pcs
EE,Battery,"Li-Po, 1500mAh, With PCR Cobalt",0.45200000000,pcs
EE,Battery,"Li-Po, 150mAh",0.14400000000,pcs
EE,Battery,"Li-Po, 150mAh, With PCR Cobalt",0.10800000000,pcs
EE,Battery,"Li-Po, 240mAh",0.20200000000,pcs
EE,Battery,"Li-Po, 240mAh, With PCR Cobalt",0.14300000000,pcs
EE,Battery,"Li-Po, 2800mAh",1.38000000000,pcs
EE,Battery,"Li-Po, 2800mAh, With PCR Cobalt",0.77100000000,pcs
EE,Battery,"Li-Po, 3300mAh",1.82000000000,pcs
EE,Battery,"Li-Po, 3300mAh, With PCR Cobalt",0.96800000000,pcs
EE,Battery,"Li-Po, 430mAh",0.29500000000,pcs
EE,Battery,"Li-Po, 430mAh, With PCR Cobalt",0.19100000000,pcs
EE,Battery,"Li-Po, 500mAh",0.31200000000,pcs
EE,Battery,"Li-Po, 500mAh, With PCR Cobalt",0.19100000000,pcs
EE,Battery,"Li-Po, 50mAh",0.08800000000,pcs
EE,Battery,"Li-Po, 50mAh, With PCR Cobalt",0.07500000000,pcs
EE,Battery,"Ultimate Lithium, AA",0.26700000000,pcs
EE,Cable,Cable PE (4.5 g/m),0.01571361100,m
EE,Cable,Cable PTFE (3.0 g/m),0.02390000000,m
EE,Cable,Cable PVC (16 g/m),0.06287835100,m
EE,Cable,Cable PVC (4.5 g/m),0.01789359400,m
EE,Cable,"Cable PVC, Braided (17.7 g/m)",0.07198000000,m
EE,Cable,Cable TPE (16 g/m),0.06170000000,m
EE,Cable,Cable TPE (4.5 g/m),0.01991250000,m
EE,Cable,"Cable TPE, Braided (17.7 g/m)",0.07080000000,m
EE,Cable,"Internal Cable,  HDPE  [Without Connector]",0.00569000000,g
EE,Cable,"Internal Cable,  PET  [Without Connector]",0.00611000000,g
EE,Cable,"Internal Cable,  PTFE  [Without Connector]",0.08050000000,g
EE,Cable,"Internal Cable,  PVC  [Without Connector]",0.00566000000,g
EE,Cable,"Internal Cable,  Rubber  [Without Connector]",0.00581000000,g
EE,Cable,"Internal Cable,  TPU  [Without Connector]",0.00711000000,g
EE,Connector,"Connector, Ferrite",0.01230000000,g
EE,Connector,"Connector, LCP",0.01550000000,g
EE,Connector,"Connector, PBT",0.01680000000,g
EE,Connector,"Connector, PE",0.01330000000,g
EE,Connector,"Connector, Polyamide6",0.01820000000,g
EE,Connector,"Connector, Polyamide66",0.01730000000,g
EE,Connector,"Connector, PVC",0.01260000000,g
EE,Connector,"Connector, TPE",0.01570000000,g
EE,Connector,"Connector, Unspecified Material",0.01730000000,g
EE,Flexible PCB,"Membrane, 10% Ink",0.00000394000,mm^2
EE,Flexible PCB,"Membrane, 20% Ink",0.00000533000,mm^2
EE,Flexible PCB,"Membrane, 40% Ink",0.00000832000,mm^2
EE,Flexible PCB,"Membrane, 60% Ink",0.00001120000,mm^2
EE,LED,"LED, CSP/Mini, 0.4x0.75x0.15mm (0.45mg)",0.00079700000,pcs
EE,LED,"LED, SMD, IR (2.2mg)",0.00039300000,pcs
EE,LED,"LED, SMD, IR, 3.2x1.6x1.10mm (5.86mg)",0.00102000000,pcs
EE,LED,"LED, SMD, RGB, 1x1mm (1.27mg)",0.00023400000,pcs
EE,LED,"LED, SMD, RGB, 2.1x2.1mm (15.04mg)",0.00246000000,pcs
EE,LED,"LED, SMD, RGB, 4.5x1mm (7.84mg)",0.00123000000,pcs
EE,LED,"LED, SMD, Single Colour, 2.8x3.2mm (31.8mg)",0.00472000000,pcs
EE,LED,"LED, SMD, Single Colour, 2.8x3.5mm (24mg)",0.00388000000,pcs
EE,LED,"LED, THT/Lamp, IR, 5mm (300mg)",0.01660000000,pcs
EE,LED,"LED, THT/Lamp, RGB, 5mm (310.53mg)",0.01730000000,pcs
EE,Microphone,Microphone,0.04400000000,g
EE,Motor,Motor,0.00946000000,g
EE,Passives,"Capacitor,  Aluminium,  DIP",0.06500000000,g
EE,Passives,"Capacitor,  Aluminium,  SMD",0.08130000000,g
EE,Passives,"Capacitor,  Film Type,  THT",0.04990000000,g
EE,Passives,"Capacitor,  MLCC,  SMD",0.08130000000,g
EE,Passives,"Capacitor,  Tantalum,  SMD",0.16100000000,g
EE,Passives,Crystal,0.06380000000,g
EE,Passives,"Diodes,  Power,  SMD",0.26600000000,g
EE,Passives,"Diodes,  Power,  THT",0.26400000000,g
EE,Passives,"Diodes,  Signal,  SMD",0.26600000000,g
EE,Passives,Filter,1.27000000000,g
EE,Passives,"Inductor,  Coil Miniature Wound",0.10300000000,g
EE,Passives,"Inductor,  Coil Miniature Wound SRP",0.04680000000,g
EE,Passives,"Inductor,  Multilayer",0.04280000000,g
EE,Passives,"Inductor,  Quad Choke",0.04680000000,g
EE,Passives,"Inductor,  Ring Core Coil",0.04680000000,g
EE,Passives,Potentiometer,0.03630000000,g
EE,Passives,"Resistor,  Thick Film",0.05680000000,g
EE,Passives,"Resistor,  THT",0.03490000000,g
EE,Passives,"Resistor,  Unknown Package",0.05680000000,g
EE,Passives,Thermistor,0.05680000000,g
EE,Passives,"Varistor,  THT",0.05680000000,g
EE,Rigid PCB,"PCB, 1 layer, 0.8 mm",0.00007550000,mm^2
EE,Rigid PCB,"PCB, 1 layer, 1.6 mm",0.00008440000,mm^2
EE,Rigid PCB,"PCB, 12 layers, PTH, 0.8 mm",0.00035260000,mm^2
EE,Rigid PCB,"PCB, 12 layers, PTH, 1.2 mm",0.00035720000,mm^2
EE,Rigid PCB,"PCB, 12 layers, PTH, 1.6 mm",0.00036170000,mm^2
EE,Rigid PCB,"PCB, 2 layers, CPTH, 0.8 mm",0.00008233000,mm^2
EE,Rigid PCB,"PCB, 2 layers, CPTH, 1.2 mm",0.00008594000,mm^2
EE,Rigid PCB,"PCB, 2 layers, CPTH, 1.6 mm",0.00008963000,mm^2
EE,Rigid PCB,"PCB, 2 layers, PTH, 0.8 mm",0.00010040000,mm^2
EE,Rigid PCB,"PCB, 2 layers, PTH, 1.2 mm",0.00010480000,mm^2
EE,Rigid PCB,"PCB, 2 layers, PTH, 1.6 mm",0.00010930000,mm^2
EE,Rigid PCB,"PCB, 4 layers, PTH, 0.8 mm",0.00015090000,mm^2
EE,Rigid PCB,"PCB, 4 layers, PTH, 1.2 mm",0.00015550000,mm^2
EE,Rigid PCB,"PCB, 4 layers, PTH, 1.6 mm",0.00016000000,mm^2
EE,Rigid PCB,"PCB, 6 layers, PTH, 0.8 mm",0.00020130000,mm^2
EE,Rigid PCB,"PCB, 6 layers, PTH, 1.2 mm",0.00020590000,mm^2
EE,Rigid PCB,"PCB, 6 layers, PTH, 1.6 mm",0.00021040000,mm^2
EE,Rigid PCB,"PCB, 8 layers, PTH, 0.8 mm",0.00025180000,mm^2
EE,Rigid PCB,"PCB, 8 layers, PTH, 1.2 mm",0.00025630000,mm^2
EE,Rigid PCB,"PCB, 8 layers, PTH, 1.6 mm",0.00026090000,mm^2
EE,Solder,Solder Paste,0.02890000000,g
EE,Switch,Dip Switch (79mg),0.00060734900,pcs
EE,Switch,"Mechanical Switch, High Profile, Hot Swappable, With Socket",0.00897000000,pcs
EE,Switch,"Mechanical Switch, Low Profile, No Lightguide",0.00512000000,pcs
EE,Switch,"Mechanical Switch, Standard High Profile, Lightguide",0.00916000000,pcs
EE,Switch,"Mechanical Switch, Standard High Profile, No Lightguide",0.00781000000,pcs
EE,Switch,Tact Switch (242mg),0.00170407300,pcs
ME,ABS,100% PCR ABS  (PCR>97%),0.00283930000,g
ME,ABS,35% PCR ABS,0.00551000000,g
ME,ABS,50% PCR ABS,0.00487000000,g
ME,ABS,50% PCR ABS (2% PET Fiber),0.00481900000,g
ME,ABS,65% PCR ABS,0.00422000000,g
ME,ABS,85% PCR ABS,0.00336000000,g
ME,ABS,95% PCR ABS,0.00292550000,g
ME,ABS,ABS,0.00702000000,g
ME,ABS,ABS (2% PET Fiber),0.00692600000,g
ME,Aluminium,ADC-12  [Die-casting],0.01923100000,g
ME,Aluminium,ADC-12 (60% Recycled)  [Die-casting],0.01383100000,g
ME,Aluminium,ADC-12 (65% Recycled)  [Die-casting],0.01266100000,g
ME,Aluminium,ADC-12 (75% Recycled )  [Die-casting],0.01031100000,g
ME,Aluminium,ADC-12 (80% Recycled)  [Die-casting],0.00914100000,g
ME,Aluminium,ADC-12 (85% Recycled)  [Die-casting],0.00797100000,g
ME,Aluminium,Al 5052 Low Carbon  [Stamping],0.00700400000,g
ME,Aluminium,Al 5052 Regular  [Stamping],0.02677400000,g
ME,Aluminium,Al 6061 Low Carbon  [Stamping],0.00678400000,g
ME,Aluminium,Al 6061 Regular  [Stamping],0.02656400000,g
ME,Aluminium,Al 6063 Low Carbon  [CNC],0.00628800000,g
ME,Aluminium,Al 6063 Low Carbon  [Extrusion],0.00661400000,g
ME,Aluminium,Al 6063 Regular  [CNC],0.02605800000,g
ME,Aluminium,Al 6063 Regular  [Extrusion],0.02638400000,g
ME,Copper,Brass  [Turning],0.01590000000,g
ME,Copper,Copper Foil,0.00891000000,g
ME,Copper,Copper Sheet,0.00960000000,g
ME,Copper,Copper Wire,0.00806550000,g
ME,Copper,Copper Wire (100% Recycled),0.00141570000,g
ME,Copper,Copper Wire (50% Recycled),0.00474060000,g
ME,Copper,Copper Wire (95% Recycled),0.00174819000,g
ME,Elastomers,30% PCR TPU  [Injection],0.00493000000,g
ME,Elastomers,Silicone Rubber,0.00550000000,g
ME,Elastomers,TPU  [Injection],0.00592000000,g
ME,Foam,Compressed Cork,0.00128000000,g
ME,Foam,EPE Foam,0.00403000000,g
ME,Foam,EVA Foam,0.00430000000,g
ME,Foam,Natural Rubber,0.00273717400,g
ME,Foam,PU Foam,0.00728000000,g
ME,Foot Pad,HDPE Pad,0.00342891380,g
